labels,rules
M0, !(IL12_out | IL10_out | IL6_out | VEGF_out)
M1,(IL12_out) & ( IL6_out | STAT1 | STAT5 | NFKB ) & ! (IL10_out | VEGF_out)
M2a,(IL10_out & STAT6)  & ! ( IL12_out | IL6_out | NFKB | VEGF_out | FCGR)
M2b,(IL10_out) & (IL6_out) & ! ( STAT6 |VEGF_out)
M2c,(IL10_out & STAT3_IL10 ) & ! ( IL12_out | IL6_out | NFKB | STAT6 | VEGF_out)
M2d,(VEGF_out) & ! (IL12_out | IL6_out | NFKB | STAT6 )
