"","WT","STAT1_0","STAT5_0","IL1R_0","IL12_out_0","FCGR_0","NFKB_0","VEGF_out_0","TLR4_0","IL6_out_0","KLF4_0","STAT6_0","IL10_out_0","SOCS1_0","PPARG_0","STAT3_IL6_0","STAT3_IL10_0","SOCS3_0","IL6R_0","IL10R_0","IFNG_e_0","GMCSF_e_0","IL1B_e_0","IC_e_0","LPS_e_0","NECA_e_0","EGFR_e_0","IL4_e_0","IL6_e_0","IL10_e_0","STAT1_1","STAT5_1","IL1R_1","IL12_out_1","FCGR_1","NFKB_1","VEGF_out_1","TLR4_1","IL6_out_1","KLF4_1","STAT6_1","IL10_out_1","SOCS1_1","PPARG_1","STAT3_IL6_1","STAT3_IL10_1","SOCS3_1","IL6R_1","IL10R_1","IFNG_e_1","GMCSF_e_1","IL1B_e_1","IC_e_1","LPS_e_1","NECA_e_1","EGFR_e_1","IL4_e_1","IL6_e_1","IL10_e_1"
"il6/M2b/M0/il6/M2b/M0",8,16,8,4,16,16,0,12,8,0,8,16,0,8,8,0,0,0,0,0,8,4,2,8,4,6,8,8,8,8,0,8,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,2,0,0,0,0
"M0",24,32,32,36,32,24,48,24,36,56,24,48,344,24,24,48,48,24,48,48,16,16,24,12,24,12,12,24,24,24,16,16,0,0,0,0,0,0,0,48,0,0,64,0,0,0,48,0,0,8,8,0,12,0,12,12,0,0,0
"M0/il6",20,32,24,18,32,20,24,20,30,0,20,40,52,20,20,8,40,0,16,40,16,12,20,10,20,10,20,20,0,20,8,16,0,0,0,0,0,0,0,24,0,0,32,0,0,0,16,0,0,4,8,0,10,0,10,0,0,20,0
"M0/il6/M0/il6/il6/il6",8,16,8,0,16,8,0,8,12,0,8,16,8,8,8,0,16,0,0,16,8,4,8,4,8,4,8,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,8,0
"M0/M0",0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0/M0/M0/il6/il6/il6",12,16,16,18,16,12,24,12,18,0,12,24,44,12,12,0,24,0,0,24,8,8,12,6,12,6,12,12,0,12,8,8,0,0,0,0,0,0,0,24,0,0,32,0,0,0,0,0,0,4,4,0,6,0,6,0,0,12,0
"M0/M0/M0/M0/M0/M0",0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0/M1",4,0,8,0,0,4,0,4,6,8,4,8,4,4,4,4,8,0,8,8,0,4,4,2,4,2,4,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,2,0,2,0,0,4,0
"M0/M1/M0/M1/il6/M1",4,0,8,0,0,4,0,4,6,0,4,8,4,4,4,0,8,0,0,8,0,4,4,2,4,2,4,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,4,0
"M0/M1/M0/M1/M0/M1",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M0/M2/M0",24,32,32,36,32,24,48,24,36,40,24,48,0,24,24,48,0,0,48,0,16,16,24,12,24,12,12,24,24,24,16,16,0,0,0,0,0,0,0,48,0,0,64,0,0,0,0,0,0,8,8,0,12,0,12,12,0,0,0
"M0/M2/M0/il6/M2/il6",12,16,16,18,16,12,24,12,18,0,12,24,0,12,12,0,0,0,0,0,8,8,12,6,12,6,12,12,0,12,8,8,0,0,0,0,0,0,0,24,0,0,32,0,0,0,0,0,0,4,4,0,6,0,6,0,0,12,0
"M0/M2/M0/M0/M2/M0",0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1",8,0,0,12,0,8,16,8,12,40,8,16,8,8,8,88,16,88,88,16,0,0,8,4,8,4,4,8,8,8,16,16,0,24,0,0,0,0,0,16,0,0,0,0,80,0,88,80,0,8,8,0,4,0,4,4,0,0,0
"M1/bM1M2/M1/M1/bM1M2/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/il6",16,0,32,0,0,16,0,16,24,0,16,32,16,16,16,8,32,16,8,32,0,16,16,8,16,8,8,16,8,16,32,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,8,16,0,16,0,0,8,0,8,8,0,8,0
"M1/il6/M1/il6/M1/il6",8,0,16,0,0,8,0,8,12,0,8,16,8,8,8,0,16,0,0,16,0,8,8,4,8,4,0,8,4,8,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,4,8,0,4,0
"M1/M0",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M0/M1/il6/M1/il6",4,0,8,0,0,4,0,4,6,0,4,8,4,4,4,0,8,0,0,8,0,4,4,2,4,2,4,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,4,0
"M1/M0/M1/M0/M1/M0",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M1",104,0,64,34,0,136,24,120,140,64,104,208,200,104,104,16,208,16,16,208,0,32,80,68,88,60,48,104,48,104,208,144,64,284,0,64,0,40,112,24,0,0,0,0,16,0,16,16,0,104,72,24,36,16,44,56,0,56,0
"M1/M1/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M1/M1/M1/M1/M1",100,0,64,34,0,132,24,116,134,56,100,200,196,100,100,0,200,0,0,200,0,32,76,66,84,58,44,100,44,100,200,136,64,268,0,64,0,40,112,24,0,0,0,0,0,0,0,0,0,100,68,24,34,16,42,56,0,56,0
"M1/M1M2/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M1M2/M1/M1/M1M2/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M2/M0",8,0,0,12,0,8,16,8,12,24,8,16,0,8,8,16,0,4,16,0,0,0,8,4,8,4,4,8,8,8,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,8,0,4,0,4,4,0,0,0
"M1/M2/M0/M1/M2/il6",4,0,0,6,0,4,8,4,6,0,4,8,0,4,4,0,0,0,0,0,0,0,4,2,4,2,4,4,0,4,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,4,0,2,0,2,0,0,4,0
"M1/M2/M0/M1/M2/M0",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M2/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M2/M1/M1/M2/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M2b/il6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M2b/il6/M1/M2b/il6",24,0,16,20,0,40,16,32,28,0,24,48,0,24,24,0,0,0,0,0,0,8,12,20,16,16,0,24,12,24,48,0,32,0,0,0,0,20,48,16,0,0,0,0,0,0,0,0,0,24,16,12,4,8,8,24,0,12,0
"M1/M2b/M0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1/M2b/M0/M1/M2b/il6",8,0,8,4,0,16,0,12,8,0,8,16,0,8,8,0,0,0,0,0,0,4,2,8,4,6,8,8,0,8,16,0,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,4,2,0,0,8,0
"M1/M2b/M0/M1/M2b/M0",8,0,8,4,0,16,0,12,8,0,8,16,0,8,8,0,0,0,0,0,0,4,2,8,4,6,8,8,8,8,16,0,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,4,2,0,0,0,0
"M1/M2b/M1/M1/M2b/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2",0,0,0,0,0,0,4,0,0,56,0,0,0,0,0,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,0,0,8,0,0,4,0,0,0,0,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M1/M1/M1M2/M1/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M1M2",16,0,16,16,0,32,6,0,0,56,16,32,16,64,16,0,32,0,0,32,0,8,8,16,0,0,8,16,8,16,128,16,16,224,0,16,216,88,16,6,0,0,0,0,0,0,0,0,0,16,8,8,0,16,16,8,0,8,0
"M1M2/M1M2/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M1M2/M1/M1M2/M1M2/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M1M2/M1M2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M1M2/M1M2/M1M2/M1M2/M1M2",16,0,16,16,0,32,6,0,0,56,16,32,16,64,16,0,32,0,0,32,0,8,8,16,0,0,8,16,8,16,128,16,16,304,0,16,212,88,16,6,0,0,0,0,0,0,0,0,0,16,8,8,0,16,16,8,0,8,0
"M1M2/M1M2/NoLabel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M1M2/NoLabel/M1M2/M1M2/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M2/M1M2/M1M2/M2/M1M2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M2/M1M2/M2/M1M2/M2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M2/M2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
