"","dec.attractor","label"
"211",512081792,"NoLabel"
"212",243646336,"NoLabel"
"213",513130368,"NoLabel"
"214",244694912,"NoLabel"
"215",378912640,"NoLabel"
"216",110477184,"NoLabel"
"217",311789952,"M2b"
"218",43354496,"M2b"
"219",446007680,"M2b"
"220",177572224,"M2b"
"221",444959104,"M2b"
"222",176523648,"M2b"
"223",310741376,"M2b"
"224",42305920,"M2b"
"225",302352640,"M2b"
"226",33917184,"M2b"
"227",436570368,"M2b"
"228",168134912,"M2b"
"229",453347584,"M2b"
"230",184912128,"M2b"
"231",319129856,"M2b"
"232",50694400,"M2b"
"233",323324160,"M2b"
"234",54888704,"M2b"
"235",457541888,"M2b"
"236",189106432,"M2b"
"237",440764672,"M2b"
"238",172329216,"M2b"
"239",306546944,"M2b"
"240",38111488,"M2b"
"241",307595520,"M2b"
"242",39160064,"M2b"
"243",441813248,"M2b"
"244",173377792,"M2b"
"245",458590464,"M2b"
"246",190155008,"M2b"
"247",324372736,"M2b"
"248",55937280,"M2b"
"249",320178432,"M2b"
"250",51742976,"M2b"
"251",454396160,"M2b"
"252",185960704,"M2b"
"253",437618944,"M2b"
"254",169183488,"M2b"
"255",303401216,"M2b"
"256",34965760,"M2b"
"257",370523904,"NoLabel"
"258",102088448,"NoLabel"
"259",504741632,"NoLabel"
"260",236306176,"NoLabel"
"261",521518848,"NoLabel"
"262",253083392,"NoLabel"
"263",387301120,"NoLabel"
"264",118865664,"NoLabel"
"265",391495424,"NoLabel"
"266",123059968,"NoLabel"
"267",525713152,"NoLabel"
"268",257277696,"NoLabel"
"269",508935936,"NoLabel"
"270",240500480,"NoLabel"
"271",374718208,"NoLabel"
"272",106282752,"NoLabel"
"273",373669632,"NoLabel"
"274",105234176,"NoLabel"
"275",507887360,"NoLabel"
"276",239451904,"NoLabel"
"277",524664576,"NoLabel"
"278",256229120,"NoLabel"
"279",390446848,"NoLabel"
"280",122011392,"NoLabel"
"281",386252544,"NoLabel"
"282",117817088,"NoLabel"
"283",520470272,"NoLabel"
"284",252034816,"NoLabel"
"285",503693056,"NoLabel"
"286",235257600,"NoLabel"
"287",369475328,"NoLabel"
"288",101039872,"NoLabel"
"289",369999616,"NoLabel"
"290",101564160,"NoLabel"
"291",504217344,"NoLabel"
"292",235781888,"NoLabel"
"293",520994560,"NoLabel"
"294",252559104,"NoLabel"
"295",386776832,"NoLabel"
"296",118341376,"NoLabel"
"297",390971136,"NoLabel"
